id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts38512,Cooked,SHOW,"Explored through the lenses of the four natural elements – fire, water, air and earth – COOKED is an enlightening and compelling look at the evolution of what food means to us through the history of food preparation and its universal ability to connect us. Highlighting our primal human need to cook, the series urges a return to the kitchen to reclaim our lost traditions and to forge a deeper, more meaningful connection to the ingredients and cooking techniques that we use to nourish ourselves.",2016,TV-PG,53,['documentation'],['US'],1.0,tt5347906,7.6,43.0,4.669,7.5
ts41294,Mossad 101,SHOW,"Cadets from every level of Israeli society undergo intense training to join their country's elite, highly classified intelligence service, the Mossad.

The series revolves around a secret Mossad compound called 'HaMidrasha', which is surrounded by surveillance cameras and is equipped with technological devices. The compound operates a training course in which 13 trainees are sent to complicated missions in order to test their suitability for the occupation, and their improvisation, seduction and impersonation abilities. Yonna, the commander of the course, criticizes the mediocrity of Mossad's agents and demands from the new trainees a higher level of execution. He decides to create a new training program to test his trainees via unusual and radical situations, in which, apart from excellence, Yonna demands a creative ""out of the box"" thinking.",2015,TV-MA,42,"['action', 'drama']",['IL'],2.0,tt4354042,6.8,632.0,4.877,5.9
ts43501,Secrets of Great British Castles,SHOW,"Historian Dan Jones explores the millennium of history behind six of Great Britain's most famous castles: Warwick, Dover, Caernarfon, the Tower of London, Carrickfergus, and Stirling.",2015,TV-PG,51,"['documentation', 'history', 'european']",['GB'],2.0,tt5181284,7.8,1031.0,2.774,7.4
ts42628,Netflix Presents: The Characters,SHOW,No rules. No expectations. A half hour to make their mark. Eight different comedians each get an episode to show their skills in comedy.,2016,TV-MA,31,['comedy'],['US'],1.0,tt5228026,5.3,835.0,3.998,5.1
ts36740,Project Mc²,SHOW,"McKeyla, Adrienne, Bryden, and Camryn are four super smart and science-skilled girls recruited to join the spy organization, NOV8.",2015,TV-G,24,['family'],['US'],6.0,tt4861760,6.1,985.0,14.028,8.0
ts53076,El Chema,SHOW,"Inspired by true events, This is the story of the most notorious drug kingpin the world had ever seen. A man known as El Chapo, the biggest international drug lord in history. The most important and influential man, in the history of Narcos. He changed the game with his spectacular escapes and innovative smuggling techniques.",2016,TV-MA,44,"['drama', 'action', 'crime']",['US'],1.0,tt5730624,6.9,303.0,103.284,
ts53106,Tokyo Trial,SHOW,"In the wake of World War II, 11 Allied judges are tasked with weighing the fates of Japanese war criminals in a tense international trial.",2016,TV-MA,49,"['drama', 'history']","['JP', 'US']",1.0,tt6422918,7.4,1544.0,6.903,6.9
ts41253,Love O2O,SHOW,"What is it that makes a man fall in love with a woman at first sight? Appearance? Aura? Wealth? NO, when campus prince and gaming expert, student Xiao Nai first saw Bei Wei Wei, what made him fall in love was not her extraordinary beauty, but her slim and slender fingers that were flying across the keyboard and her calm and composed manner!!! Embarrassing, no? At the same time, gaming expert Bei Wei Wei, at this time and place is on the computer, methodically commanding a guild war, and won a perfect and glorious victory despite being at a disadvantage, and was completely unaware that cupid is nearby. Soon after basketball player, swimmer, all-around excellent student, and game company president, Xiao Nai, uses both tactics on and off-line to take this beauty’s heart. Therefore this romance slowly bloomed. ~~ Drama adapted from the novel by Gu Man.",2016,TV-14,45,"['drama', 'romance']",['CN'],1.0,tt6092878,8.0,2322.0,5.592,6.0
ts38717,Good Morning Call,SHOW,"A high school girl finally gets her own apartment, but she has to share it with the most popular boy in school. No one can know they're living together.",2016,TV-14,48,"['comedy', 'drama', 'romance']",['JP'],2.0,tt5520732,7.7,3088.0,12.751,7.1
ts58068,Inside the World's Toughest Prisons,SHOW,"Crime journalist Paul Connolly goes behind the bars of some of the world’s most notorious and toughest prisons. Immersing himself in maximum security facilities around the world to live as a prisoner, he encounters the inmates locked up for their crimes and meets the men and women on the right side of law tasked with keeping the criminals behind bars.",2016,TV-MA,48,"['crime', 'documentation']",['GB'],5.0,tt8594220,7.1,2747.0,3.8,7.4
